technology,width,action,energy,area,comment
effective_lpddr4_aesgcm_11cycle,128,read,1300.96,0,"Utsav Banerjee, Master's Thesis, MIT; Pipelined 11-cycle AES + 8-cycle GFMult for 128bit datapath"
effective_lpddr4_aesgcm_11cycle,128,write,1300.96,0,
effective_lpddr4_aesgcm_11cycle,128,idle,0,0,
